,0,1,2
129,Jerry Sturgill,"United States Senate election in Idaho, 2016","The 2016 United States Senate election in Idaho was held November 8, 2016, to elect a member of the United States Senate to represent the State of Idaho, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections. "
130,Jerry Sturgill,"United States Senate elections, 2016","Elections to the United States Senate were held November 8, 2016. The presidential election, House elections, 14 gubernatorial elections, and many state and local elections were held on the same date.
"
131,Ray J. Writz ,"Idaho Legislature election, 2006",The 2006 legislative elections in Idaho were for all 35 legislative districts.
132,Mark Kirk,"Illinois's 10th congressional district election, 2006","Illinois's 10th congressional district is located in the northern suburbs of Chicago in Cook and Lake counties, along Lake Michigan. "
133,Mark Kirk,"United States Senate election in Illinois, 2016","The 2016 United States Senate election in Illinois was held November 8, 2016, to elect a member of the United States Senate to represent the State of Illinois, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
134,Tammy Duckworth,"United States Senate election in Illinois, 2016","The 2016 United States Senate election in Illinois was held November 8, 2016, to elect a member of the United States Senate to represent the State of Illinois, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
135,Tammy Duckworth,"Democratic Party presidential primaries, 2020","The 2020 Democratic Party presidential primaries and caucuses will be a series of electoral contests organized by the Democratic Party to select the 4,051 delegates to the Democratic National Convention and determine the Democratic nominee for President of the United States in the 2020 U.S. presidential election. "
136,Andrea Zopp,2015 Kazan Kremlin Cup – Singles,"Marsel İlhan was the defending champion, but he lost in quarterfinals to Konstantin Kravchuk.
Aslan Karatsev won the title, defeating Konstantin Kravchuk in the final, 6–4, 4–6, 6–3."
137,Andrea Zopp,2017 Trofeo Città di Brescia – Singles,"Luca Vanni was the defending champion but chose not to defend his title.
Lukáš Lacko won the title after defeating Laurynas Grigelis 6–1, 6–2 in the final."
138,Napoleon Harris,2002 NFL Draft,"The 2002 NFL draft was the procedure by which National Football League teams selected amateur college football players. The draft is known officially as the ""NFL Annual Player Selection Meeting"" and has been conducted annually since 1936. "
139,Napoleon Harris,2005 Oakland Raiders season,"The 2005 Oakland Raiders season was their 46th in the league. They were unable to improve upon their previous season's output of 5–11, instead only going 4–12. The team finished the season on a six-game losing streak. "
140,Napoleon Harris,"Illinois Senate election, 2014","The Illinois State Senate Election of 2014 determined, along with 40 senators not up for re-election, the membership of the 99th Illinois State Senate. "
141,Todd Young ,"United States Senate election in Indiana, 2016","The 2016 United States Senate election in Indiana was held on November 8, 2016, to elect a member of the United States Senate to represent the State of Indiana, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
142,Todd Young ,"United States House of Representatives elections in Indiana, 2014","The 2014 U.S. House of Representatives elections in Indiana was held on Tuesday, November 4, 2014 to elect 9 members of the U.S. House of Representatives from Indiana. The Members elected at this election will serve in the 114th Congress. Indiana has placed Republican and Democratic nominees on the ballot in a nation-best 189 consecutive U.S. House races across each of the last 19 election cycles since 1978."
143,Marlin Stutzman ,"Indiana's 3rd congressional district special election, 2010","The 2010 United States House of Representatives special election for Indiana's Third congressional district occurred on November 2, 2010 to elect the successor to Mark Souder who resigned upon admitting to an extramarital affair. "
144,Marlin Stutzman ,"United States House of Representatives elections in Indiana, 2014","The 2014 U.S. House of Representatives elections in Indiana was held on Tuesday, November 4, 2014 to elect 9 members of the U.S. House of Representatives from Indiana. The Members elected at this election will serve in the 114th Congress. Indiana has placed Republican and Democratic nominees on the ballot in a nation-best 189 consecutive U.S. House races across each of the last 19 election cycles since 1978."
145,Marlin Stutzman ,"United States House of Representatives elections in Indiana, 2010","The 2010 congressional elections in Indiana were held on November 2, 2010 to determine who would represent the state of Indiana in the United States House of Representatives. "
146,Baron Hill ,"United States Senate special election in Indiana, 1990","The 1990 United States Senate special election in Indiana was a special election held on November 6, 1990, in order to fill the Class III seat in the United States Senate from Indiana for the remainder of the term ending January 3, 1993. "
147,Baron Hill ,"Luton by-election, 1963","The 1963 Luton by-election was held following the resignation of the former ""radio doctor"" and Conservative Minister Charles Hill. "
148,Baron Hill ,"United States House of Representatives elections in Indiana, 2004","The 2004 congressional elections in Indiana were elections for Indiana's delegation to the United States House of Representatives, which occurred along with congressional elections nationwide on November 2, 2004. "
149,Chuck Grassley,"United States Senate election in Iowa, 1992","The 1992 United States Senate election in Iowa was held November 3, 1992. Incumbent Republican United States Senator Chuck Grassley ran for re-election to a third term in the United States Senate, which he won easily against his Democratic opponent, State Senator Jean Hall Lloyd-Jones."
150,Chuck Grassley,"United States Senate election in Iowa, 1986","The 1986 United States Senate election in Iowa was held November 3, 1986. Incumbent Republican United States Senator Chuck Grassley won re-election to a second term, defeating Democratic nominee, attorney John P. Roehrick in a landslide."
151,Chuck Grassley,"United States Senate election in Iowa, 1998","The 1998 United States Senate election in Iowa was held November 3, 1998. Incumbent Republican United States Senator Chuck Grassley sought re-election to a fourth term in the United States Senate, running against former State Representative David Osterberg, who won the Democratic nomination unopposed. "
152,Patty Judge,"Iowa gubernatorial election, 2006","The Iowa gubernatorial election of 2006 took place November 7, 2006. The incumbent governor, Tom Vilsack, a Democrat, had served two terms and decided not to seek a third term. "
153,Patty Judge,"United States Senate election in Iowa, 2016","The 2016 United States Senate election in Iowa was held November 8, 2016, to elect a member of the United States Senate to represent the State of Iowa, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
154,Patty Judge,"Iowa gubernatorial election, 2010","The Iowa gubernatorial election of 2010 was held on Tuesday, November 2, 2010 to elect the governor and lieutenant governor, to serve a four-year term beginning on January 14, 2011. "
155,Rob Hogg,"Iowa Senate election, 2014","The 2014 Iowa Senate election was held on November 4, 2014. The Senate seats for the twenty-five odd-numbered districts were up for election. "
156,Rob Hogg,"Iowa gubernatorial election, 2018","The 2018 Iowa gubernatorial election is scheduled to take place on November 6, 2018. Incumbent Republican Governor Kim Reynolds is running for election to a full term. Businessman Fred Hubbell is the Democratic candidate. Primary elections were held on June 5, 2018. "
157,Rob Hogg,"United States Senate election in Iowa, 2016","The 2016 United States Senate election in Iowa was held November 8, 2016, to elect a member of the United States Senate to represent the State of Iowa, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
158,Tom Fiegen,"United States Senate election in Iowa, 2010","The 2010 United States Senate election in Iowa took place on November 2, 2010, alongside other elections to the United States Senate in other states as well as elections to the United States House of Representatives and various state and local elections in Iowa. "
159,Tom Fiegen,"United States Senate election in Iowa, 2016","The 2016 United States Senate election in Iowa was held November 8, 2016, to elect a member of the United States Senate to represent the State of Iowa, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
160,Tom Fiegen,"United States Senate elections, 2016","Elections to the United States Senate were held November 8, 2016. The presidential election, House elections, 14 gubernatorial elections, and many state and local elections were held on the same date.
"
161,Bob Krause,"United States Senate election in Iowa, 2010","The 2010 United States Senate election in Iowa took place on November 2, 2010, alongside other elections to the United States Senate in other states as well as elections to the United States House of Representatives and various state and local elections in Iowa. "
162,Bob Krause,"United States Senate election in Iowa, 2016","The 2016 United States Senate election in Iowa was held November 8, 2016, to elect a member of the United States Senate to represent the State of Iowa, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
163,Bob Krause,"Iowa gubernatorial election, 2014","The 2014 Iowa gubernatorial election took place on November 4, 2014, to elect the Governor of Iowa. Republican incumbent Terry Branstad was running for reelection to a sixth overall and second consecutive four-year term. "
164,Jerry Moran,"United States Senate election in Kansas, 2016","The 2016 United States Senate election in Kansas was held on November 8, 2016, to elect a member of the United States Senate to represent the State of Kansas, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections. "
165,Jerry Moran,"United States Senate election in Kansas, 2010","The 2010 United States Senate election in Kansas took place on November 2, 2010 alongside other elections to the United States Senate in other states as well as elections to the United States House of Representatives and various state and local elections. "
166,Jerry Moran,"United States Senate special election in Kansas, 1996","The 1996 United States Senate election in Kansas was held November 3, 1996. Incumbent Republican U.S. Senator Sheila Frahm, who was recently appointed to the seat, was defeated in the primary by Sam Brownback, who went on to win the general election."
167,D.J. Smith,1996–97 OHL season,"The 1996–97 OHL season was the 17th season of the Ontario Hockey League. The Niagara Falls Thunder move to Erie becoming the Erie Otters. Seventeen teams each played 66 games. The Oshawa Generals won the J. Ross Robertson Cup, defeating the Ottawa 67's."
168,D.J. Smith,2013–14 OHL season,"The 2013–14 OHL season was the 34th season of the Ontario Hockey League. The Brampton Battalion relocated to North Bay and became the North Bay Battalion, playing at the North Bay Memorial Gardens. "
169,Patrick Wiesner,"United States Senate election in Kansas, 2016","The 2016 United States Senate election in Kansas was held on November 8, 2016, to elect a member of the United States Senate to represent the State of Kansas, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections. "
170,Patrick Wiesner,"United States Senate elections, 2016","Elections to the United States Senate were held November 8, 2016. The presidential election, House elections, 14 gubernatorial elections, and many state and local elections were held on the same date.
"
171,Rand Paul,"United States presidential primaries in Puerto Rico, 2016","Although Puerto Rico did not participate in the November 8, 2016, general election because it is a territory and not a state, the five non-incorporated territories that send delegates to the United States House of Representatives participated in the presidential primaries.
"
172,Rand Paul,"United States presidential election in American Samoa, 2016","American Samoa did not participate in the November 8, 2016, general election because it is a territory and not a state. However, the five non-incorporated territories that send Delegates to the House of Representatives did participate in the presidential primaries.
"
173,James Gould,1938 British Empire Games,"The 1938 British Empire Games was the third British Empire Games, the Commonwealth Games being the modern-day equivalent. Held in Sydney, New South Wales, Australia from 5–12 February 1938, they were timed to coincide with Sydney's sesqui-centenary. "
174,James Gould,"Constituency election results in the United Kingdom general election, 1923","This is a complete alphabetical list of constituency election results to the 33rd Parliament of the United Kingdom at the 1923 general election, held on 5 December 1923."
175,James Gould,2017 Royal London One-Day Cup,The 2017 Royal London One-Day Cup tournament was a limited overs cricket competition that forms part of the 2017 domestic cricket season in England and Wales. Matches were contested over 50 overs per side and had List A cricket status. 
176,Jim Gray,1973 Stanley Cup Finals,"The 1973 Stanley Cup Finals NHL championship series was contested by the Chicago Black Hawks and the Montreal Canadiens, a rematch of the 1971 Final. The Canadiens would win the best-of-seven series four games to two."
177,Jim Gray,1961 NBA Finals,"The 1961 NBA World Championship Series was the championship series of the 1961 NBA Playoffs, which concluded the National Basketball Association's 1960–61 season. The best-of-seven series was played between the Western Conference champion St. Louis Hawks and the Eastern Conference champion Boston Celtics. This was the fourth and final World Championship Series meeting between the two teams. "
178,Jim Gray,1956 NBA Finals,The 1956 NBA World Championship Series was the championship series played at the conclusion of the 1955–56 National Basketball Association season. The Philadelphia Warriors defeated the Fort Wayne Pistons four games to one. 
179,Ron Leach,"United States House of Representatives elections, 2014","The 2014 United States House of Representatives elections were held on November 4, 2014, in the middle of President Barack Obama's second term in office.
Elections were held for all 435 seats of the House of Representatives, representing the 50 states. "
180,Ron Leach,1977 Big Ten Conference football season,"The 1977 Big Ten Conference football season was the 82nd season of college football played by the member schools of the Big Ten Conference and was a part of the 1977 NCAA Division I football season.
"
181,Grant Short,Battle of Powder River,"The Battle of Powder River, also known as the Reynolds Battle, occurred on Friday, March 17, 1876, in Montana Territory, United States. The attack on a Cheyenne Indian encampment by Colonel Joseph J. Reynolds initiated the Great Sioux War of 1876. "
182,Grant Short,Great Sioux War of 1876,"The Great Sioux War of 1876, also known as the Black Hills War, was a series of battles and negotiations which occurred in 1876 and 1877 between the Lakota Sioux, Northern Cheyenne, and the United States. "
183,Grant Short,Big Horn Expedition,"The Big Horn Expedition, or Bighorn Expedition, was a military operation of the United States Army against the Sioux, and Cheyenne Indians in Wyoming Territory and Montana Territory. "
184,John Kennedy,Assassination of John F. Kennedy,"John Fitzgerald Kennedy, the 35th President of the United States, was assassinated on Friday, November 22, 1963, at 12:30 p.m. Central Standard Time in Dallas, Texas, while riding in a presidential motorcade through Dealey Plaza. "
185,John Kennedy,Presidency of John F. Kennedy,"The presidency of John F. Kennedy began on January 20, 1961, when Kennedy was inaugurated as the 35th President of the United States, and ended on November 22, 1963, upon his assassination and death, a span of 1,036 days. "
186,John Kennedy,John F. Kennedy 1961 presidential inauguration,"The inauguration of John F. Kennedy as the 35th President of the United States was held on Friday, January 20, 1961 at the eastern portico of the United States Capitol in Washington, D.C.. The inauguration marked the commencement of John F. Kennedy's only term as President and of Lyndon B. Johnson's only term as Vice President. "
187,Foster Campbell,"United States Senate election in Louisiana, 2016","The 2016 United States Senate election in Louisiana took place on November 8, 2016, to elect a member of the United States Senate to represent the State of Louisiana, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
188,Foster Campbell,"Louisiana gubernatorial election, 2007","The Louisiana gubernatorial election of 2007 was held on October 20. The filing deadline for candidates was September 6. On the day of the election, all 12 candidates competed in an open jungle primary. "
189,Foster Campbell,"United States Senate elections, 2016","Elections to the United States Senate were held November 8, 2016. The presidential election, House elections, 14 gubernatorial elections, and many state and local elections were held on the same date.
"
190,Chris Van Hollen,"United States Senate election in Maryland, 2016","The 2016 United States Senate election in Maryland took place on November 8, 2016, to elect a member of the United States Senate to represent the State of Maryland, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
191,Chris Van Hollen,"United States Senate elections, 2022","Elections to the United States Senate will be held on November 8, 2022 with 34 of the 100 seats in the Senate being contested in regular elections, the winners of which will serve six-year terms in the United States Congress from January 3, 2023 to January 3, 2029. "
192,Donna Edwards,"Maryland's 4th congressional district special election, 2008","Maryland's 4th congressional district special election of 2008 took place on June 17, 2008 to fill the seat in the United States House of Representatives left vacant by the resignation of Maryland congressman Albert Wynn. "
193,Donna Edwards,"Maryland county executive elections, 2018","The Maryland county executive elections of 2018 will take place on November 6, 2018, with the primary election occurring on June 26, 2018.
"
194,Freddie Dickson,2013 England rugby union tour of Argentina,"In June 2013, England played a two-test series against Argentina as part of the 2013 mid-year rugby test series. This series was part of the second year of the global rugby calendar established by the International Rugby Board, which runs through to 2019.
"
195,Freddie Dickson,2013–14 LV Cup,"The 2013–14 LV Cup is the 43rd season of England's national rugby union cup competition, and the ninth to follow the Anglo-Welsh format.
"
196,Freddie Dickson,2013 June rugby union tests,"The 2013 mid-year rugby union tests were international rugby union matches that were played in June 2013, mostly in the Southern Hemisphere.
"
197,Charles Smith,"New Jersey gubernatorial election, 1859","The New Jersey gubernatorial election of 1859 was a race for Governor of New Jersey held on November 8, 1859. Republican Charles Smith Olden defeated Democratic nominee Edwin R. V. Wright with 50.76% of the vote."
198,Blaine Taylor,2005 CAA Men's Basketball Tournament,"The 2005 CAA Men's Basketball Tournament was held from March 4–7, 2005 at the Richmond Coliseum in Richmond, Virginia. The winner of the tournament was Old Dominion, who received an automatic bid to the 2005 NCAA Men's Division I Basketball Tournament."
199,Blaine Taylor,2011 CAA Men's Basketball Tournament,"The 2011 CAA Men's Basketball Tournament was held March 4–7 at the Richmond Coliseum in Richmond, VA to crown a champion of the Colonial Athletic Association. "
200,Blaine Taylor,2010 CAA Men's Basketball Tournament,"The 2010 CAA Men's Basketball Tournament was held from March 5–8, 2010 at the Richmond Coliseum in Richmond, Virginia. The winner of the tournament was Old Dominion, who received an automatic bid to the 2010 NCAA Men's Division I Basketball Tournament. "
201,Kathy Szeliga,"United States Senate election in Maryland, 2016","The 2016 United States Senate election in Maryland took place on November 8, 2016, to elect a member of the United States Senate to represent the State of Maryland, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
202,Kathy Szeliga,"United States Senate elections, 2016","Elections to the United States Senate were held November 8, 2016. The presidential election, House elections, 14 gubernatorial elections, and many state and local elections were held on the same date.
"
203,Kathy Szeliga,"Maryland gubernatorial election, 2014","The 2014 Maryland gubernatorial election took place on November 4, 2014, to elect the Governor and Lieutenant Governor of Maryland. "
204,Chris Chaffee,"United States House of Representatives elections, 2014","The 2014 United States House of Representatives elections were held on November 4, 2014, in the middle of President Barack Obama's second term in office.
Elections were held for all 435 seats of the House of Representatives, representing the 50 states. "
205,Richard Douglas,2005 AFL draft,"The 2005 AFL draft was the 2005 instance of the AFL draft, the annual draft of talented players by Australian rules football teams that participate in the main competition of that sport, the Australian Football League.The 2005 draft consisted of a pre-season draft, a national draft, a trade period and a rookie elevation.
"
206,Richard Douglas,2010 Adelaide Football Club season,The 2010 AFL season was the Adelaide Crows 20th season in the AFL on the back of a 5th place and a semi-final exit in the 2009 AFL season. It was Neil Craig's 7th season at the helm after taking over from Gary Ayres as coach in 2004. 
207,Richard Douglas,2017 Adelaide Football Club season,The 2017 Adelaide Football Club season is the 27th season in the Australian Football League and the 1st season in the AFL Women's competition contested by the Adelaide Football Club.
208,Dave Wallace,1974 Football League Cup Final,"The 1974 Football League Cup Final was the final match of the 1973–74 Football League Cup, the 14th season of the Football League Cup, a football competition for the 92 teams in The Football League. "
209,Dave Wallace,2000 New York Mets season,"The New York Mets' 2000 season was the 39th regular season for the Mets. They went 94-68 and finished 2nd in the NL East, but earned the NL Wild Card. They made it to the World Series where they were defeated by their crosstown rival the New York Yankees. They were managed by Bobby Valentine. They played home games at Shea Stadium."
210,Dave Wallace,2004 Boston Red Sox season,"The 2004 Boston Red Sox season was the 104th season in the franchise's Major League Baseball history. Managed by Terry Francona, the Red Sox finished with a 98–64 record, three games behind the New York Yankees in the American League East. "
211,Sean Connor,2008 League of Ireland First Division,The 2008 League of Ireland First Division season was the 24th season of the League of Ireland First Division. The First Division was contested by 10 teams and Dundalk won the division.
212,Sean Connor,2009 League of Ireland Premier Division,The 2009 League of Ireland Premier Division was the 25th season of the League of Ireland Premier Division. The division was made up of 10 teams. Bohemians were champions while Shamrock Rovers finished as runners-up.
213,Sean Connor,2006 League of Ireland Premier Division,The 2006 League of Ireland Premier Division was the 22nd season of the League of Ireland Premier Division. The division was made up of 12 teams. Shelbourne were champions while Derry City finished as runners-up. 
214,Greg Holmes,1987 Livingston Open,"The 1987 Livingston Open was a tennis tournament played on outdoor hard courts that was part of the 1987 Nabisco Grand Prix. It was played at Newark Academy in Livingston, New Jersey in the United States from July 13 through July 20, 1987."
215,Greg Holmes,1983 NCAA Division I Men's Tennis Championships,"The 1983 NCAA Division I Men's Tennis Championships were the 37th annual championships to determine the national champions of NCAA Division I men's singles, doubles, and team collegiate tennis in the United States. "
216,Jason Kander,"Missouri Secretary of State election, 2012","The Missouri Secretary of State election, 2012 was held on November 6, 2012, alongside the presidential and gubernatorial elections. Democratic State Representative Jason Kander defeated Republican Speaker Pro Tem Shane Schoeller by 39,085 votes."
217,Jason Kander,"Missouri gubernatorial election, 2020","The 2020 Missouri gubernatorial election will be held on November 3, 2020, to elect the Governor of Missouri, concurrently with the 2020 U.S. presidential election, as well as elections to the United States Senate and elections to the United States House of Representatives and various state and local elections. "
218,Robert Mack,Electric Dylan controversy,"By 1965, Bob Dylan was the leading songwriter of the American folk music revival. The response to his albums The Freewheelin' Bob Dylan and The Times They Are a-Changin' led the media to label him the ""spokesman of a generation"".
"
219,Jonathan Dine,"United States Senate election in Missouri, 2012","The 2012 United States Senate election in Missouri was held on November 6, 2012, concurrently with the 2012 presidential election, other elections to the United States Senate in other states, as well as elections to the United States House of Representatives and various state and local elections. "
220,Herschel Young,"United States Senate elections, 1968","The United States Senate elections, 1968 were elections for the United States Senate which coincided with the presidential election. Although Richard Nixon won the presidential election narrowly, the Republicans picked up five net seats in the Senate. "
221,Catherine Cortez Masto ,"United States Senate election in Nevada, 2016","The 2016 United States Senate election in Nevada was held November 8, 2016 to elect a member of the United States Senate to represent the State of Nevada, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections. "
222,Catherine Cortez Masto ,"United States Senate election in Arizona, 2018","The 2018 United States Senate election in Arizona will take place on November 6, 2018, to elect a member of the United States Senate to represent the State of Arizona and replace Jeff Flake, who is not running for re-election. "
223,Catherine Cortez Masto ,"United States Senate election in Wisconsin, 2018","The 2018 United States Senate election in Wisconsin will take place on November 6, 2018 concurrently with a gubernatorial election and U.S. House elections.
Incumbent Democratic U.S. Senator Tammy Baldwin ran unopposed in the primaries that were held on August 14, with a filing deadline on June 1. "
224,Joe Heck,"United States House of Representatives elections in Nevada, 2014","The 2014 United States House of Representatives elections in Nevada were held on Tuesday, November 4, 2014 to elect the four U.S. Representatives from the state of Nevada, one from each of the state's four congressional districts. The elections coincided with the elections of other federal and state offices, including a gubernatorial election."
225,Joe Heck,"United States Senate election in Nevada, 2016","The 2016 United States Senate election in Nevada was held November 8, 2016 to elect a member of the United States Senate to represent the State of Nevada, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections. "
226,Joe Heck,"United States House of Representatives elections in Nevada, 2018","The 2018 United States House of Representatives elections in Nevada will be held on November 6, 2018, to elect the four U.S. Representatives from the state of Nevada, one from each of the state's four congressional districts. "
227,Sharron Angle,"United States House of Representatives elections in Nevada, 2018","The 2018 United States House of Representatives elections in Nevada will be held on November 6, 2018, to elect the four U.S. Representatives from the state of Nevada, one from each of the state's four congressional districts. "
228,Sharron Angle,"United States Senate election in Nevada, 2010","The 2010 United States Senate election in Nevada took place on November 2, 2010. Incumbent Democratic U.S. Senator and Majority Leader Harry Reid won re-election to a fifth term."
229,Sharron Angle,"Nevada's 2nd congressional district special election, 2011","On September 13, 2011, a special election was held in Nevada's 2nd congressional district to fill the vacancy created by the resignation of Republican Dean Heller, who was appointed to the United States Senate.
"
230,Thomas Heck,Battle of Ingalls,"The Battle of Ingalls was a gunfight on September 1, 1893 between United States Marshals and the Doolin-Dalton Gang, during the closing years of the Old West era, in Ingalls, Oklahoma. "
231,Thomas Heck,Ned Christie's War,Ned Christie's War is a phrase that has been used when referring to the overall confrontation between American lawmen and the Cherokee renegade Ned Christie. 
232,Eddie Hamilton,1976–77 OMJHL season,"The 1976–77 OMJHL season was the third season of the Ontario Major Junior Hockey League. The St. Catharines Black Hawks moved to Niagara Falls, Ontario, becoming the Flyers. Their owner Hap Emms using the name of his former team. The Hamilton Fincups then moved to the vacant Jack Gatecliff Arena in St. "
233,Eddie Hamilton,2013 Scottish Women's Premier League,"The 2013 Scottish Women's Premier League was the twelfth season of the Scottish Women's Premier League, the highest division of women's football in Scotland since its inception in 2002. The competition started on 17 March 2013.
A total of twelve teams are contested the league. Glasgow City were the reigning champions.
"
234,Kelly Ayotte,"United States Senate election in New Hampshire, 2020","The 2020 United States Senate election in New Hampshire will be held on November 3, 2020, to elect a member of the United States Senate to represent the State of New Hampshire, concurrently with the 2020 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections."
235,Kelly Ayotte,"United States Senate election in New Hampshire, 2016","The 2016 United States Senate election in New Hampshire was held November 8, 2016, to elect a member of the United States Senate to represent the State of New Hampshire, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections. "
236,Kelly Ayotte,"United States Senate election in New Hampshire, 2010","The 2010 United States Senate election in New Hampshire was held on November 2, 2010, alongside other midterm elections to the United States Senate in other states as well as to the United States House of Representatives. "
237,Jim Rubens,"United States Senate election in New Hampshire, 2014","The 2014 United States Senate election in New Hampshire was held on November 4, 2014, to elect a member of the United States Senate to represent the state of New Hampshire, concurrently with the election of the Governor of New Hampshire, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
238,Jim Rubens,"United States Senate election in New Hampshire, 2016","The 2016 United States Senate election in New Hampshire was held November 8, 2016, to elect a member of the United States Senate to represent the State of New Hampshire, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections. "
239,Jim Rubens,"United States Senate elections, 2016","Elections to the United States Senate were held November 8, 2016. The presidential election, House elections, 14 gubernatorial elections, and many state and local elections were held on the same date.
"
240,Tom Alciere,"United States Senate election in New Hampshire, 2008","The United States Senate election in New Hampshire was held on November 4, 2008. Incumbent Republican U.S. Senator John E. Sununu ran for re-election to a second term, but was defeated by Democrat Jeanne Shaheen in a rematch of the 2002 election. "
241,Stanley Emanuel,Evander Holyfield vs. Lennox Lewis,"Evander Holyfield vs. Lennox Lewis, billed as ""Undisputed"", was a professional boxing match contested on March 13, 1999 for the WBA, WBC, IBF and Lineal Heavyweight Championships. "
242,Maggie Hassan,"United States Senate election in New Hampshire, 2016","The 2016 United States Senate election in New Hampshire was held November 8, 2016, to elect a member of the United States Senate to represent the State of New Hampshire, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections. "
243,Maggie Hassan,"United States Senate election in Wisconsin, 2018","The 2018 United States Senate election in Wisconsin will take place on November 6, 2018 concurrently with a gubernatorial election and U.S. House elections.
Incumbent Democratic U.S. Senator Tammy Baldwin ran unopposed in the primaries that were held on August 14, with a filing deadline on June 1. "
244,Maggie Hassan,"United States Senate elections, 2022","Elections to the United States Senate will be held on November 8, 2022 with 34 of the 100 seats in the Senate being contested in regular elections, the winners of which will serve six-year terms in the United States Congress from January 3, 2023 to January 3, 2029. "
245,Chuck Schumer,"United States Senate election in New York, 2010","The 2010 United States Senate election in New York took place as scheduled on November 2, 2010 along with elections to the United States Senate in other states as well as elections to the United States House of Representatives and various state and local elections. "
246,Chuck Schumer,"United States Senate election in New York, 2004","The 2004 United States Senate election in New York took place on November 2, 2004 along with elections to the United States Senate in other states as well as the presidential election, elections to the United States House of Representatives and various state and local elections. "
247,Wendy Long,"United States Senate election in New York, 2016","The 2016 United States Senate election in New York was held November 8, 2016, to elect a member of the United States Senate to represent the State of New York, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections. "
248,Wendy Long,2016 World Masters Athletics Championships,"The twenty-second World Masters Athletics Championships were held in Perth Australia, from October 26–November 6, 2016. This was the first even year of the biennial championship as beginning in 2016, the championships moved to be held in even numbered years. "
249,Alex Merced,"United States Senate election in New York, 2016","The 2016 United States Senate election in New York was held November 8, 2016, to elect a member of the United States Senate to represent the State of New York, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections. "
250,Alex Merced,"New York City Public Advocate election, 2013","The 2013 New York City Public Advocate election was held on November 5, 2013, along with elections for the Mayor, Comptroller, Borough Presidents, and members of the New York City Council. "
251,Alex Merced,"United States Senate elections, 2016","Elections to the United States Senate were held November 8, 2016. The presidential election, House elections, 14 gubernatorial elections, and many state and local elections were held on the same date.
"
252,Richard Burr,"United States Senate election in North Carolina, 2004","The 2004 United States Senate election in North Carolina was held on November 2, 2004. Incumbent Democratic U.S. Senator John Edwards decided to retire from the Senate, ran unsuccessfully for the 2004 Democratic Party presidential nomination, and became his party's vice presidential nominee. "
253,Richard Burr,"United States House of Representatives elections in North Carolina, 2000",The United States House of Representative elections of 2000 in North Carolina were held on 3 November 2000 as part of the biennial election to the United States House of Representatives. 
254,Richard Burr,"United States House of Representatives elections in North Carolina, 1996",The United States House of Representative elections of 1996 in North Carolina were held on 5 November 1996 as part of the biennial election to the United States House of Representatives. 
255,Greg Brannon,"United States Senate election in North Carolina, 2016","The 2016 United States Senate election in North Carolina was held November 8, 2016 to elect a member of the United States Senate to represent the State of North Carolina, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections. "
